HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
60323,185.53600686,-35.51198147,4.95,0.82,7.02,0.950,G5III,-37.68,6.64
60324,185.53654047,-51.82302905,1.35,3.03,10.78,,G,-36.13,11.55
60325,185.53668450,11.56858008,22.37,1.56,9.97,1.040,K0,-159.94,-43.68
60326,185.53840518,18.37096819,6.27,1.82,10.32,0.657,G0,23.37,-38.38
60327,185.54526433,24.77387685,9.97,0.74,6.21,-0.012,A0V,-54.47,-4.47
60328,185.54762341,49.47914993,7.33,1.62,9.66,0.437,F5,-31.79,4.26
60329,185.55014315,-68.30719873,8.24,0.55,5.73,1.038,K0III,-2.45,-48.14
60331,185.55273473,73.24803460,23.16,0.67,7.97,0.744,G7V,-455.36,184.36
60330,185.55317609,-83.31991228,6.59,0.82,8.90,0.446,F5V,26.98,-7.15
60332,185.56197834,-38.45152538,5.58,0.88,7.53,0.978,G8III,17.78,-27.89
60333,185.56260808,4.85495493,5.48,0.93,7.64,1.407,M...,-5.70,-8.05
60334,185.56282510,-73.50367818,7.97,0.75,6.77,0.161,A4/A5V,-54.43,-11.49
60335,185.56980503,-67.27060468,5.67,0.93,8.79,0.427,F3IV,-15.33,-10.39
60336,185.57061205,48.43004597,17.04,1.78,10.37,1.030,K8,2.53,35.09
60337,185.57180866,3.29766536,15.91,0.98,7.99,0.500,F8,-143.53,11.64
60338,185.57696827,-15.55535220,5.24,0.77,6.54,1.238,K0/K1III,42.87,-21.98
60339,185.58254710,-65.60835772,-0.30,0.77,7.75,0.038,B1Ib,-4.61,0.57
60340,185.58481488,61.47170836,3.71,1.31,8.31,0.844,G5,-14.19,0.26
60341,185.58628470,-2.77616318,8.69,1.22,8.86,0.506,F8,-120.29,-11.14
60342,185.58680105,-65.69084294,1.97,0.92,8.62,0.091,B9IV/V,-15.75,-2.45
60343,185.59049959,25.17045531,33.15,2.54,11.35,1.350,M:,-692.58,-200.85
60344,185.59057016,82.65723431,3.57,0.85,9.00,0.362,G,-24.57,-1.60
60345,185.59248858,9.94273651,3.97,1.11,8.63,1.240,K0,6.18,-19.70
60346,185.59873469,32.61265772,24.90,1.43,9.54,0.940,K0V,109.02,-293.95
60347,185.60318223,22.46416514,11.47,1.07,8.53,0.470,F5...,-12.03,-8.68
60348,185.60370286,-51.02618049,12.80,1.88,8.80,0.490,F5V,-36.75,-11.01
60349,185.61088030,-24.23655453,6.31,0.89,7.01,1.154,K2III,-42.18,-13.03
60350,185.62340589,40.82650746,0.16,2.11,11.60,-0.164,A5m,-12.94,17.08
60351,185.62632982,25.84618178,11.93,0.72,4.78,0.515,F8:p...,-10.75,-8.85
60352,185.63173094,5.31091978,9.20,93.93,10.47,1.192,,138.63,98.25
60353,185.63390170,5.30557355,33.53,1.32,6.46,0.567,F8V,-166.57,-53.15
60354,185.63406486,20.61783972,2.17,1.92,10.83,0.567,F8,-10.73,13.41
60355,185.63715158,16.35826118,13.70,1.33,9.53,0.800,K0,-156.90,-101.59
60356,185.63791835,48.35283366,4.09,0.92,7.41,0.201,A5V,-31.82,10.56
60357,185.64236941,27.60478283,32.22,2.04,10.89,1.473,M3V,-142.48,-29.42
60358,185.64339889,26.62159078,2.49,1.06,7.86,1.356,K2III,-33.33,-21.95
60359,185.64610795,-50.80287243,2.49,1.07,8.19,0.287,A6IV/V,-7.79,-16.41
60360,185.65229071,-49.32612013,10.07,1.56,7.90,0.147,A2IV/V,-24.46,-3.46
60361,185.65316250,-62.21598014,3.19,0.88,8.33,0.030,B9V,-15.77,-2.37
60362,185.65607257,-33.56079604,2.96,1.99,8.23,0.430,F3IV/V,-37.94,0.96
60363,185.66297236,-42.36592872,-0.46,2.00,10.82,0.986,Gp,-14.26,-4.49
60364,185.66357712,27.13340568,1.50,1.11,8.47,1.529,K2III,-0.16,-8.68
60365,185.66955866,55.83516536,5.02,0.84,8.10,0.414,F5,-3.13,-9.88
60366,185.67096856,5.91495874,18.82,1.08,8.47,0.617,G0,5.30,-7.88
60367,185.67334099,31.24890452,5.10,1.12,8.25,1.102,K0III,-8.34,-8.96
60368,185.67546560,20.14896784,0.68,0.96,7.92,1.286,K2,-4.41,-22.10
60369,185.67857488,-27.76197657,3.13,1.15,9.18,1.276,K2III:,-2.69,4.45
60370,185.68615139,-39.17732244,39.02,0.80,6.70,0.639,G3IV/V,173.97,-147.50
60371,185.68808041,-44.38078033,2.99,1.15,8.85,0.874,K0:II/III+.,-14.76,1.18
60372,185.69117441,-13.11553343,2.94,1.21,9.17,0.955,G8III/IV,7.75,-17.82
60373,185.69175718,30.80094430,0.60,1.41,8.92,1.350,K4III,-10.32,-1.12
60374,185.69412642,-52.29301205,7.66,0.85,6.52,1.010,G8III,18.19,-14.81
60375,185.69800908,22.87337611,-1.14,1.56,9.77,0.590,G0,43.90,-26.38
60376,185.70050365,-67.81410485,3.12,0.75,8.14,0.050,B8III/IV,1.54,-10.07
60377,185.70387828,68.52476291,3.29,0.71,8.45,0.228,A2,-12.29,6.80
60378,185.70454055,-0.24971889,6.20,1.37,9.40,0.465,G5,-18.21,-4.29
60379,185.70613474,-57.67610097,9.54,0.65,5.38,-0.098,B9V,-37.73,-12.71
60380,185.70675763,43.80832012,2.80,0.93,7.89,0.945,G9III,3.26,-11.54
60381,185.70676476,60.10470542,2.08,0.77,7.69,1.365,K0,-4.37,6.51
60382,185.70940489,-45.65898161,7.91,0.91,7.59,0.179,A1IVm...,-57.94,-16.33
60383,185.71002776,39.27561261,5.13,0.95,8.18,1.130,K2III,-20.77,5.35
60384,185.71286444,50.04600303,1.89,1.26,9.25,1.676,M2III,0.57,-6.44
60385,185.71434878,-33.99468193,3.45,1.09,8.15,1.026,K0III,-47.28,4.21
60386,185.71905326,-50.06719222,4.15,1.26,8.89,0.378,F2IV,8.53,-3.51
60387,185.71977568,11.60716838,0.46,1.59,10.01,0.809,G5,-48.63,-36.86
60388,185.72881904,-14.66286908,12.27,0.92,7.47,0.468,F3V,-38.70,-12.03
60389,185.73424132,-5.78006162,5.89,1.15,8.52,0.286,A2,1.13,16.44
60390,185.73661128,-52.39006035,3.58,2.04,8.73,1.201,K1III,-13.44,3.23
60391,185.74687632,-50.01259585,10.69,1.36,9.33,0.682,G3/G5IV,-106.19,19.88
60392,185.74710098,16.24348619,3.44,1.11,8.27,1.053,K0,20.35,-22.77
60393,185.74998645,70.32356697,3.16,0.84,8.61,0.798,K0,-3.70,2.87
60394,185.75021236,-64.73032052,6.56,0.66,7.12,1.121,K1III,17.04,-8.40
60395,185.75042252,29.54501656,-0.22,1.72,10.66,0.375,F2,-27.68,19.09
60397,185.75055039,-53.38202663,3.62,1.34,9.13,0.354,F0m...,-12.39,7.62
60396,185.75055093,-24.87131004,6.91,0.82,6.82,1.063,K0III,-60.18,37.82
60398,185.75439425,64.02991823,55.50,2.27,11.63,1.610,M4,-667.21,375.52
60399,185.75578190,-5.58651876,7.92,1.44,8.91,0.590,F8,-21.75,-30.29
60400,185.76851710,30.61057859,7.22,1.38,9.28,0.530,F8,-81.17,23.04
60401,185.76886106,48.85489763,5.16,1.12,8.39,1.068,K0III,-15.58,-12.41
60402,185.76970059,-0.93602788,6.10,1.49,9.40,0.388,F8,-18.09,13.83
60403,185.77129389,12.68518324,3.58,1.63,9.24,1.099,K0,-51.89,-1.70
60404,185.77681177,19.14394204,1.77,1.28,9.32,1.110,K0,0.78,-3.20
60405,185.78094568,-41.04538361,3.92,1.15,8.11,0.980,G8III/IV,9.24,-40.75
60406,185.78502888,25.85139615,11.86,1.22,9.10,0.551,F8V,-9.90,-7.95
60407,185.78980583,-7.29913295,3.54,0.89,6.96,0.980,K0,-24.56,3.26
60408,185.79119566,-52.42049035,4.98,1.10,7.86,1.075,K0III,3.29,-19.45
60409,185.79356801,-4.91179626,9.05,1.47,9.73,0.660,F8,-65.43,-18.11
60410,185.79694637,-1.91452587,6.73,1.68,9.95,0.809,F5,69.05,-48.84
60411,185.80018067,42.72011949,11.27,1.15,8.87,0.548,G0,-74.98,-22.74
60412,185.80135706,32.94504517,3.96,1.39,9.53,0.406,F2,-8.45,-19.79
60413,185.80595174,42.89953712,10.20,1.10,8.79,0.435,F5,-7.38,56.62
60414,185.80983016,-37.48980737,6.11,0.90,7.16,0.322,F0V,-50.79,9.86
60415,185.81030684,13.66191203,-0.37,1.96,10.49,0.404,F2,-30.67,-9.36
60416,185.81220787,53.18871977,2.40,1.02,8.89,0.485,F8,-29.43,2.66
60417,185.81266771,-67.63217115,19.69,0.59,6.36,0.887,K0IV-V,-751.13,257.04
60418,185.81394956,-4.97443301,7.17,0.87,6.47,1.189,K0,30.41,-28.62
60419,185.81613440,13.62217156,4.67,1.19,8.51,0.330,F5,15.34,-4.69
60420,185.81814665,-9.77117705,3.92,0.85,7.64,1.103,K0,-47.88,-70.90
60421,185.82873989,-11.81209173,3.70,0.79,6.48,1.640,M3III,-51.02,-10.49
60422,185.83487665,-35.05102287,20.18,3.39,12.00,1.415,,-221.40,-15.44
60423,185.83618524,19.66003846,2.12,1.14,8.26,1.208,K2,-26.40,-40.28
60424,185.83903562,-75.23093477,2.97,0.98,9.27,1.012,G6III,6.91,-7.99
60425,185.83999906,-24.84062116,10.32,0.75,5.66,1.153,K1III,-21.40,-19.59
60426,185.84146766,-26.47150074,7.48,1.00,7.82,0.411,A3m...,-53.17,-4.16
60427,185.85284284,52.15378777,13.36,1.30,9.76,0.845,G5,-29.70,-54.34
60428,185.85398859,-7.05263992,5.84,1.27,9.39,0.363,F2V,86.66,-88.23
60429,185.85440750,-53.64697854,1.16,1.11,8.71,-0.100,B2V,-7.02,1.16
60430,185.85674696,-41.84775397,5.91,0.91,7.79,0.133,A1V,13.50,-15.62
60431,185.86119669,68.07052469,7.88,0.86,9.18,0.488,F8,1.18,2.08
60432,185.86141066,-56.77586865,6.62,1.93,9.24,0.600,F3V,-60.74,-39.09
60434,185.86259437,63.03341131,3.92,0.88,8.16,1.176,K0,-27.78,-21.88
60433,185.86291935,20.29103476,22.31,1.54,10.02,1.070,K7,-408.50,-86.59
60435,185.86369576,-44.32036247,2.62,1.09,8.55,1.048,K0III,-18.82,-2.49
60436,185.86489971,-6.11893119,16.25,0.91,7.18,0.477,F8,-30.73,56.39
60437,185.86717849,39.79638791,4.76,1.07,8.80,0.533,F8III,-12.23,-20.06
60438,185.86784323,-23.16140052,22.67,2.09,10.84,1.527,K4.5,-69.84,17.29
60439,185.87482752,24.59329173,4.40,0.89,7.40,1.064,K0IIIw...,27.19,-14.93
60440,185.87726413,0.71284328,14.60,1.13,8.68,0.501,G0,67.27,-176.70
60441,185.87820823,17.35571389,8.08,1.19,9.03,0.523,F5,-81.35,11.83
60442,185.87845424,-50.63446274,1.06,1.21,8.62,1.386,K2/K3III/IV,-14.95,10.71
60443,185.88254711,54.98423842,18.02,2.68,11.51,1.582,K7,-42.79,-309.07
60444,185.88679784,67.18861012,77.01,5.72,11.19,,,236.96,-121.73
60445,185.88686041,13.92257829,9.12,1.88,8.98,0.640,G5,-93.47,-4.05
60447,185.89494936,-59.54173703,12.36,1.01,8.38,0.863,G6IV,9.73,-41.95
60448,185.89501684,27.91294709,30.02,2.58,11.33,1.474,M3V,-137.51,120.17
60446,185.89510766,23.42856370,4.33,1.32,8.93,0.523,F8V,-43.68,-13.98
60449,185.89770601,-35.41265923,7.98,0.72,5.32,-0.066,B8/B9V,-41.24,-7.49
60450,,,,,11.16,,,,
60451,185.89945033,-3.67743256,3.88,1.12,8.82,1.005,K0,-43.28,26.78
60452,185.90069319,-16.68076730,4.38,1.13,8.87,0.351,A9/F0V,-1.81,8.82
60453,185.90097291,60.90309604,4.76,0.80,7.69,0.945,G5,-28.71,-2.70
60454,185.90316593,-39.30237217,8.38,0.82,6.39,0.285,F2V,-23.07,4.90
60455,185.90709250,-61.62912370,1.97,0.82,6.89,0.670,F7Ib/II,-9.09,-0.80
60456,185.91062417,1.52278791,5.48,1.07,8.82,0.262,A3,-8.40,9.76
60457,185.91503112,-20.08795354,14.17,0.99,7.87,0.898,K1V,59.45,-61.02
60458,185.92090725,26.97995158,12.54,1.09,8.37,0.448,F5V,-13.50,-7.42
60459,185.92600078,-63.87005201,10.21,0.67,7.41,0.146,G6IV,-35.75,-11.76
60460,185.92730792,11.92049121,0.84,1.26,8.92,1.030,K0,-22.64,-1.96
60461,185.92772199,-38.12024023,8.53,1.06,8.66,0.438,F3V,53.76,-17.94
60462,185.92825146,-30.77653384,24.35,1.55,9.42,0.840,K1V,-259.73,202.62
61924,190.36114699,21.61399210,14.89,2.85,11.69,1.296,,-219.66,-55.00
60463,185.93660912,-38.91135056,9.52,0.73,5.79,-0.064,B8/B9V,-56.54,-12.46
60464,185.93954832,-36.87490430,1.05,1.43,9.31,1.491,K2,-2.19,-11.58
60465,185.94056634,-65.71139584,0.35,0.99,8.43,1.809,K4,-5.35,-0.29
60466,185.94422280,64.52748411,1.60,0.94,8.76,1.022,G5,-31.65,4.87
60467,185.94614816,42.54270856,9.75,0.69,6.03,0.366,F3IV,-80.13,14.40
60468,185.94925486,-30.33538535,4.06,0.94,6.39,1.572,K5III,10.21,-12.25
60469,185.95105938,-63.98602575,7.44,1.71,8.13,0.290,A4m...,-69.48,-3.02
60470,185.95459487,60.10098764,2.18,0.79,8.22,0.958,G5,8.83,-3.49
60471,185.96168682,54.15848576,0.64,1.66,7.73,1.100,G5,3.58,10.14
60473,185.96260499,8.34400854,1.86,1.30,8.83,0.321,F0,-18.95,-7.56
60472,185.96488027,-63.98631903,7.44,1.71,9.42,1.308,,-28.38,-17.12
60474,185.96968348,-19.22559544,3.17,0.89,7.45,1.071,K0III,-51.48,-1.15
60476,185.97264620,83.42815623,6.62,0.72,8.18,0.559,F8,-3.84,-10.88
60475,185.97303737,12.58066308,47.11,1.95,10.39,1.442,K5,40.90,-168.02
60477,185.97473845,40.71949624,3.58,0.90,7.99,1.575,M1III,-19.53,9.10
60478,185.97766702,15.61776823,5.24,1.07,8.81,0.990,K0,-15.59,-0.33
60479,185.97981711,-8.36876844,0.91,1.06,8.96,1.163,K2,-18.95,-18.89
60480,185.98109013,-46.67789088,12.97,1.31,9.29,0.648,G3V,-198.07,40.80
60481,185.98493758,45.03527359,1.05,1.52,9.63,0.810,G7III,-2.33,18.95
60482,185.98596220,-49.48015950,1.53,3.77,10.53,0.309,F2,-14.57,-5.49
60483,185.99324570,-60.08424811,3.77,1.10,8.66,1.145,G8III/IV,-23.89,-28.86
60484,185.99468867,57.78416222,0.99,0.98,8.20,1.300,K2III,-25.94,1.13
60485,186.00617625,51.56222925,8.30,0.58,4.76,0.877,G7III,13.15,11.32
60486,186.00947908,-19.57173750,12.21,0.85,7.44,0.448,F5V,-57.36,-49.76
60487,186.01161567,-73.12690733,5.09,1.08,9.12,1.367,K0III,-41.45,1.23
60488,186.01181898,-61.90629393,4.29,2.54,11.53,0.320,,-5.77,1.44
60489,186.01363544,23.98247963,2.90,1.26,8.86,1.080,K0,-25.95,2.61
60490,186.01445582,25.85125433,11.57,0.74,6.71,0.244,Am,-12.87,-9.10
60491,186.01659424,-26.01399673,1.26,1.07,7.82,1.661,M0III,-23.88,-3.01
60492,186.01965103,2.29789751,5.51,1.38,9.89,0.590,G0,-42.93,-2.82
60493,186.02243818,-66.11397218,2.15,0.96,8.68,0.997,G2:IV+...,-17.41,-3.26
60494,186.02575716,77.10898323,2.06,0.85,8.86,0.774,G5,40.26,-30.03
60495,186.03277516,39.86320543,2.15,1.14,8.99,1.200,K1III,24.31,3.38
60496,186.03800260,36.33014385,5.54,1.28,9.77,0.450,F5,-69.60,-24.72
60497,186.04230935,-57.91821352,20.05,0.88,7.75,0.557,F8Vw...,48.23,-35.26
60498,186.04424221,-28.55556365,8.61,1.10,8.79,0.439,F3/F5V,19.44,-8.95
60499,186.04515862,-53.57144981,3.61,1.16,8.69,0.438,F2IV,-35.13,-8.32
60500,186.04788363,5.97160900,2.33,1.10,7.65,1.563,M4III,6.52,-18.00
60501,186.04994791,3.93097120,21.36,1.99,10.70,1.577,M0,-12.08,-132.78
60502,186.05001718,-35.63375113,1.35,1.53,9.71,1.216,M5III:e,-5.92,-10.08
60503,186.05390559,-38.91381568,12.89,0.80,6.88,0.272,A7/A8III,-0.24,0.77
60504,186.05961813,60.83207484,11.90,0.94,8.74,0.601,F5,-114.86,-17.48
60506,186.06181555,41.68077928,-0.47,1.44,9.84,1.040,K1III,-34.34,17.80
60507,186.06246504,-22.84078189,-0.17,1.25,9.16,1.484,K2III,-11.54,9.60
60505,186.06319977,-78.36672208,13.41,0.78,8.81,0.724,G8V,132.02,38.38
60508,186.06549185,-59.75979376,6.92,0.96,8.50,0.435,F2V,29.01,-1.95
60509,186.06864213,9.50806460,2.10,1.25,9.00,1.160,K0,-21.94,-5.68
60510,186.06979380,10.29192988,14.69,1.45,9.65,0.734,G5,-158.80,-2.51
60511,186.07148135,24.32457371,0.72,1.52,9.99,0.794,G9V,-15.35,-17.33
60512,186.07489210,-45.03724002,16.91,1.57,9.59,0.911,K0V,-48.74,32.35
60513,186.07623408,-58.97641748,7.95,1.00,8.52,0.414,F3V,-29.13,-12.71
60514,186.07724865,26.09861325,11.47,0.71,5.17,0.082,A3V,-26.91,-3.08
60515,186.07813277,-25.55531622,4.40,1.02,8.30,0.240,A3V,-13.28,-0.71
60516,186.08400829,63.79329053,1.53,0.92,8.44,0.984,K0,-14.87,16.41
60517,186.08927767,-47.37293131,6.32,0.80,6.61,-0.049,B9V,-36.09,-2.39
60518,186.09017520,-10.47522913,7.04,0.89,7.43,0.973,K0,-19.74,48.65
60519,186.09023345,-25.21111754,15.03,0.98,8.06,0.475,F5V,-87.98,-31.89
60520,186.09478297,-22.80219250,-2.08,1.69,9.54,1.740,M2/M3III:,4.37,-5.87
60521,186.09504445,-30.94104277,1.61,2.07,10.48,1.200,Gp...,-2.73,-26.71
60522,186.10211627,43.08747469,2.78,1.69,7.88,0.328,F0,3.50,-0.23
60523,186.10636368,53.44832603,6.71,1.77,10.77,0.680,,-133.53,40.56
60524,186.10933675,33.95193143,5.75,1.89,10.73,0.765,F8,-32.01,-36.15
60525,186.11170180,25.58242997,10.23,0.94,6.41,0.276,F0V,-7.46,-10.65
60526,186.11741556,-77.21470031,3.88,0.61,6.98,1.515,K3III,-22.84,1.70
60527,186.11813253,11.16806733,6.32,1.29,9.06,0.537,G0,-132.98,-3.36
60528,186.12132000,59.51749873,6.82,0.99,9.00,0.440,F5,39.65,-6.48
60529,186.12536254,31.28029847,18.39,1.16,8.81,0.742,G6IV,-198.11,23.22
60530,186.12635713,34.96620786,11.47,1.78,10.07,0.685,G6V,-143.26,39.95
60531,186.12670326,22.16506461,9.12,1.14,8.89,0.514,G5,-75.60,-105.38
60532,186.13258073,-12.28221642,5.44,1.10,9.31,1.099,G5,-36.81,-6.81
60533,186.13572254,4.33122549,6.81,1.05,7.96,0.993,K0,29.72,-22.73
60534,186.14136528,-49.44019432,1.86,0.80,7.52,1.995,Npvar,-10.86,-2.38
60535,186.15080193,18.66835998,1.79,1.24,8.20,1.520,K2,-15.50,-1.01
60536,186.15152653,64.10546168,1.94,0.85,8.23,1.068,K0,-17.42,-10.46
60537,186.15345365,-38.72078456,2.55,1.18,8.53,1.720,K5III:,-15.90,9.45
60538,186.15367029,-27.28174589,-4.55,2.10,9.91,1.090,G8V,-14.42,2.85
60539,186.15893897,41.33240156,4.67,0.81,7.21,1.313,K2IIICN...,-7.07,-17.39
60540,186.16166702,-52.19684949,2.86,1.48,9.14,0.341,A7V,-17.17,5.78
60541,186.16420272,5.03551648,20.97,0.94,7.97,0.578,F8,-33.46,-265.47
60542,186.16732904,-52.57058420,5.46,0.98,7.78,0.641,F8III/IV,-12.01,-29.88
60543,186.16816399,17.85301455,11.67,1.16,8.59,0.487,G5,18.61,-100.80
60544,186.16972716,1.38389072,2.43,0.94,7.59,1.571,M...,-22.73,19.31
60545,186.17649778,-20.07130279,13.24,4.13,8.66,0.630,G1V,-3.00,7.44
60546,186.17675328,-60.90412183,2.29,0.72,7.14,1.193,B9V,-10.68,-3.55
60547,186.17776713,6.63099849,8.03,2.17,10.32,0.946,K2,-210.07,50.36
60548,186.18480446,-41.38657057,7.96,13.72,8.90,,,-62.62,-73.76
60549,186.18654487,-41.38411951,6.55,1.39,6.24,1.169,K2/K3III,-67.26,-69.93
60550,186.19136698,57.35238653,4.28,1.00,8.74,0.563,G0,-37.63,-0.74
60551,186.19302339,38.31858319,26.94,0.82,8.03,0.585,G0V,-587.37,64.53
60552,186.19331342,-60.88716377,3.38,1.96,9.08,0.040,B9V,-11.67,-3.82
60553,186.19921837,-75.05261736,41.37,17.45,10.51,1.020,,-240.30,-2.84
60554,186.19972061,-68.48100558,2.32,0.88,9.12,0.064,B9IV,-9.36,-0.99
60555,186.20462548,31.03385347,5.60,0.97,7.55,1.132,K2IIICN+...,-44.02,0.61
60556,186.20471536,21.62760922,4.95,1.55,10.33,0.495,F8,-53.17,-3.32
60557,186.20599889,-58.11964061,4.81,1.68,7.11,0.690,G0/G1:IV/V+,12.97,-18.97
60558,186.21502667,-18.25313750,4.11,1.21,8.66,0.432,F3IV,-40.18,-3.26
60559,186.21595803,-18.23667929,112.52,2.51,11.28,1.574,M4,1095.90,-2307.48
60560,186.21644261,31.82326474,3.50,1.02,8.02,0.960,G7IIIw...,28.96,-43.82
60561,186.21665756,-72.60387327,10.83,0.57,6.61,-0.001,A0V,-40.68,-9.93
60562,186.21758521,6.36366940,1.67,1.22,8.47,1.158,K2,-15.65,2.28
60563,186.22220146,-40.67085387,0.03,1.22,8.34,0.976,G8IIICNpvar,-5.48,-2.79
60564,186.22427866,45.58467608,-2.20,1.69,9.56,1.406,M5IIIvar,7.35,-21.20
60565,186.22606749,-19.87062299,3.91,1.29,9.05,1.022,K0III,5.76,0.18
60566,186.22692223,16.19478131,4.17,1.07,8.09,1.130,K2,-24.25,3.91
60567,186.22892485,-52.00437264,6.32,2.00,9.77,0.541,F6/F7V,-29.28,-7.84
60568,186.22974532,72.38156761,4.06,0.75,8.41,1.030,K0,-10.72,1.57
60569,186.23214886,33.52900406,6.42,1.37,9.34,0.453,F5V,-55.89,-4.14
60570,186.23318515,-65.21101270,0.40,0.64,6.92,0.110,B1Iab,-5.14,0.20
60571,186.23755204,42.85464851,12.10,0.82,7.12,0.368,F2,-100.58,36.60
60572,186.23953824,-2.33782547,-0.29,1.62,9.86,0.285,A2,-8.68,1.53
60574,186.24602649,-4.22513591,19.43,1.03,8.12,0.664,G5,-124.53,-211.96
60573,186.24627699,-81.64457123,4.34,1.33,10.73,0.631,B5,-28.37,-3.13
60575,186.24653667,-43.04045000,5.85,1.65,9.93,0.822,G8V,-110.30,-6.67
60576,186.24828774,-68.43504190,3.66,0.79,8.43,0.468,Fm...,-18.92,-9.24
60577,186.24864399,-50.19182729,9.05,0.98,8.19,0.320,A8/A9V,-33.37,-10.67
60578,186.25166409,49.14184580,1.52,1.76,10.65,-0.144,B7V,-11.25,2.24
60579,186.25185287,-21.66327670,2.19,1.11,8.76,0.850,G6IV,-4.60,-3.03
60580,186.25558487,-70.72764936,5.23,0.80,8.09,0.132,B9/B9.5V,-15.50,0.88
60581,186.25869438,-37.35529835,4.48,1.14,8.86,0.873,G6IV,-30.40,-15.63
60582,186.25943505,25.56068217,9.34,1.06,8.12,0.534,F8...,-9.94,-8.97
60583,186.26306667,-44.68082615,0.98,1.27,8.85,1.619,K3/K4III,3.69,0.02
60584,186.26343152,56.77785826,2.74,0.56,5.82,1.622,M3III,-14.25,-12.46
60585,186.26832089,22.92868685,12.04,1.25,8.55,1.100,G5,14.25,-77.83
60586,186.26934024,-54.97878845,3.20,1.25,9.75,0.057,A1V,-18.07,2.56
60587,186.26962885,34.76479577,6.04,1.15,9.12,0.243,Am,-5.14,4.37
60588,186.27068676,60.69736907,23.54,0.72,7.38,0.569,G0p,144.12,-6.20
60589,186.27659619,63.80277456,6.32,0.60,6.31,0.919,G8III,-15.55,2.77
60590,186.27758327,37.22083077,5.39,0.92,8.25,1.130,K1III,-44.00,-9.99
60591,186.28593652,-42.51425806,18.96,0.75,6.10,0.652,G4IV,-134.49,-22.30
60592,186.28695782,-48.30911332,3.38,0.84,7.22,1.591,K4III,-5.96,4.87
60593,186.29069260,46.92149392,6.70,1.65,9.74,0.538,F8,-22.50,-26.27
60594,186.29783316,-33.09249211,3.49,2.40,8.61,0.401,F2IV/V,-53.34,3.90
60595,186.29917028,-11.61051268,15.49,0.75,5.95,0.043,A1V,-58.99,-31.89
60596,186.29995335,-58.78689939,1.15,1.35,9.60,0.450,F0V,-24.47,5.12
60597,186.30745162,29.95147616,4.13,1.33,9.63,0.473,F8,-8.65,-16.83
60598,186.30900104,-25.98655355,19.37,0.86,6.85,0.397,F3/F5V,-196.29,49.39
60599,186.31280365,23.92630174,6.56,0.79,6.03,1.094,K0III,56.82,-41.09
60600,186.32328160,-24.39136762,2.21,1.25,8.64,1.256,K2III,-13.73,14.75
60601,186.32342553,-65.76961193,20.87,0.66,6.29,0.965,G8/K0IV,-63.26,-99.22
60602,186.32504788,-1.06991293,7.13,1.38,9.10,0.541,G0,-52.54,-2.59
60603,186.32670513,-27.74899915,5.07,0.89,6.09,1.272,K3III,2.41,-1.23
60604,186.32760047,13.15950214,1.89,1.57,10.06,0.375,F8,-1.69,8.64
60605,186.32811968,31.86483392,34.64,1.12,8.73,0.897,K0V,-353.99,-238.26
60607,186.33663147,11.90990802,12.61,1.29,8.82,0.573,G0,-17.45,-19.14
60608,186.33872167,14.65135351,5.84,1.66,10.17,0.595,G0,-64.93,-32.20
60609,186.33921597,59.56514981,4.33,0.80,8.38,0.226,A3,-2.05,-0.88
60610,186.34068272,-35.18640097,7.76,0.73,5.71,-0.066,B9IV/V,-40.55,-6.48
60611,186.34376546,23.22911268,9.51,1.17,8.57,0.463,F8V,-13.38,-9.46
60612,186.34387364,3.04852519,0.84,1.78,10.51,1.122,K0,-10.60,-1.06
60613,186.34504440,55.51039256,1.87,0.99,8.44,1.240,K0,-30.28,15.24
60614,186.34627317,37.72475469,24.09,2.50,11.59,,,-53.76,-193.24
60615,186.34770178,35.97596456,0.17,1.42,10.37,-0.114,B3,-0.14,0.91
60616,186.35401114,-45.62542259,3.34,1.14,8.74,0.104,A1V,-13.62,-4.74
60617,186.35750097,-30.02510952,0.54,1.28,8.59,1.072,K0III,5.74,16.74
60618,186.36021020,-50.92250971,4.39,5.69,10.43,0.451,F5,-6.61,-1.83
60619,186.36102331,38.34789464,7.17,0.83,7.66,1.118,K2III,0.40,-19.21
60620,186.36218205,-13.33742197,19.13,1.56,8.96,1.000,G8V,-104.54,-23.24
60621,186.36451758,16.17142046,2.98,1.02,8.21,0.878,K0,-9.57,-10.77
60622,186.36718951,48.37130561,5.48,0.96,7.75,1.030,G9III-IV,-25.77,-35.35
60623,186.37082571,-19.35863424,2.68,0.89,7.82,0.877,G8III/IV,-24.52,-11.26
60624,186.37283849,-76.04161131,7.77,1.06,8.41,1.010,K2IV,-151.68,0.78
60625,186.37562502,-2.14333690,2.88,1.59,9.79,0.430,F2,9.86,-27.21
60626,186.37611563,4.89892225,4.75,1.29,8.88,0.475,F2,-15.55,-10.70
60627,186.37696761,-69.47667900,5.51,1.80,7.86,-0.020,B6V,-6.82,-4.87
60628,186.38001784,9.75182228,2.54,0.98,8.09,1.530,K5,-34.59,-21.55
60629,186.38622057,-69.47526879,4.93,3.50,8.78,0.037,B6V,-8.31,-5.16
60630,186.38971181,-40.84841307,7.00,1.58,9.73,0.593,G2/G3V,-234.41,159.13
60631,186.39018593,18.86710353,3.58,1.49,8.72,1.180,K2,-13.35,-29.65
