HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
110,0.34870816,39.61081788,20.42,1.91,8.61,0.787,G5,-29.92,-41.34
111,0.34908697,34.28185977,27.11,2.33,11.28,1.308,M2,258.31,-4.75
112,0.35691658,-16.94782618,31.35,4.17,10.76,1.384,M1.5V:,299.01,-255.05
113,0.36562073,49.01041081,0.27,1.09,8.93,0.021,A0,-0.29,-1.97
114,0.37167609,30.73587929,9.93,1.95,7.95,0.654,G0IV,-10.28,-38.64
115,0.37259669,-62.92315760,4.73,0.67,7.46,0.160,A2IV,-2.22,11.18
116,0.37539303,-33.79270439,8.29,0.97,8.60,0.435,F3V,-23.88,-27.41
117,0.38040810,-72.60590348,0.36,0.87,8.55,1.093,G8III,18.26,1.70
118,0.38648579,-9.43003605,12.08,1.33,9.20,0.606,G0,44.38,1.14
119,0.39020229,44.67544581,7.49,0.83,6.82,1.071,K0,-10.61,-18.37
120,0.39598898,-45.34468907,2.83,1.09,8.29,1.183,K1IIICNIV,-19.71,-28.68
121,0.39647681,28.42377416,3.66,0.83,6.83,1.197,K2III,-18.88,-34.10
122,0.39937928,-77.06529438,14.77,0.47,4.78,1.254,K2III,-56.52,-176.95
123,0.40024110,72.23660619,5.07,0.70,7.21,1.169,K0,-44.73,3.74
124,0.40424537,61.22280406,0.86,0.56,5.58,0.407,F0III,-2.80,-1.34
125,0.40473165,-39.33667992,5.08,1.06,8.70,0.366,F2V,-19.57,-28.13
126,0.40873313,14.63230674,2.94,0.95,8.06,0.969,G5,37.26,7.11
127,0.41208753,-48.93516169,11.27,2.15,10.86,0.942,,42.86,-188.26
128,0.41376473,73.61187664,15.20,0.63,6.50,0.182,Am...,75.54,-12.36
129,0.41560234,5.37275092,6.60,1.30,9.32,0.559,F8,5.33,23.58
130,0.41825279,-30.69250699,2.93,1.38,9.14,1.080,K0III,16.06,-12.27
131,0.41994220,62.01815066,8.11,0.83,8.13,0.200,A4V,-14.27,-26.03
132,0.42200516,-34.65350786,1.89,1.91,10.62,0.358,F0,5.38,-15.37
133,0.42336890,-40.14866597,3.51,0.79,6.62,0.545,F5IV,33.70,-14.84
134,0.42514055,-1.13997217,1.30,1.71,9.96,0.264,A0,23.15,5.09
135,0.42674592,-0.21749947,20.10,1.22,8.64,0.620,G5,20.73,-114.08
136,0.42864226,24.25318080,5.84,0.78,6.60,1.153,K2III-IV,18.50,-28.01
137,0.43268925,42.36714821,2.45,0.69,6.25,-0.042,B9IIIp Mn,5.11,-1.77
138,0.43720393,-16.53172119,6.34,1.89,7.83,1.074,K0/K1IV,94.80,24.68
139,0.44529240,67.50697620,1.62,1.45,10.03,1.289,B0,-3.60,-0.44
140,0.45267471,-68.10481108,8.98,0.93,9.04,0.546,F7V,100.92,-35.54
141,0.45342986,36.35034560,5.61,1.10,8.47,1.350,K5,21.36,5.19
142,0.45374866,66.30600204,16.04,0.69,7.33,0.730,K0,4.74,12.31
144,0.45508990,76.17561121,3.57,0.75,8.66,1.364,K5,18.53,-5.64
143,0.45518210,21.46213750,20.05,1.64,10.35,1.033,K3,177.97,150.19
145,0.45598912,-3.02747891,7.98,0.71,5.13,-0.128,B7III-IV,18.90,-10.25
146,0.45619148,-25.79769516,4.39,1.29,8.96,0.306,A9V,-130.61,-341.77
147,0.46604367,21.02624872,-0.13,1.19,8.49,1.569,K5,6.24,-5.12
149,0.47868501,26.00557721,22.92,2.17,11.26,0.932,K3,-309.64,-628.61
148,0.47879268,15.52852839,4.22,0.96,8.15,0.584,F8,11.25,5.41
150,0.48036559,-37.22984397,7.50,0.84,7.04,1.060,K1III,-19.88,-44.75
152,0.48445318,-28.13095543,5.10,1.42,10.02,0.456,F5,-12.42,3.03
153,0.48454484,12.65495324,5.54,1.23,8.90,0.459,F8,-13.44,-26.84
151,0.48458240,-41.61373674,7.56,1.37,7.78,0.411,F3IV...,89.74,-15.52
154,0.48996506,-6.01397169,7.86,0.94,4.37,1.631,M3III,46.62,-41.32
155,0.49113894,46.26916275,2.28,1.39,9.93,0.283,A2,15.17,-2.88
156,0.49688500,63.35784580,3.09,0.84,8.60,0.100,B8V,8.33,-8.04
157,0.50032768,-5.21399723,6.87,1.28,8.51,0.903,G5,39.43,29.54
158,0.50047134,-37.90179046,7.03,0.89,7.09,0.999,K0III,121.63,-35.97
159,0.51081115,-2.76616306,16.92,0.81,6.93,0.292,A3,39.33,-3.17
160,0.51171520,-69.26920741,2.07,0.80,8.68,-0.052,B9V,14.52,3.76
161,0.51248009,33.69599071,2.38,1.09,8.98,1.500,K5,-23.14,-13.48
162,0.51336753,27.11861943,2.71,1.33,9.84,0.696,G0,-4.89,-6.90
163,0.51714313,-30.68523468,2.92,1.26,8.98,0.107,A3V,16.59,2.68
164,0.51857812,59.94001211,4.41,0.82,7.98,0.970,G9III,114.98,36.86
165,0.51974463,-22.32747055,-0.59,1.74,10.16,0.450,Ap...,-4.60,-6.57
166,0.52152674,-56.51490157,9.46,1.18,8.86,0.660,G3V,-47.58,-12.05
